turn,assassin,algorithm,data,seed
6,True,1,path_sim_mat_dblp_10k.npz,770092320
4,False,1,path_sim_mat_dblp_10k.npz,55389075
4,True,1,path_sim_mat_dblp_10k.npz,1785496794
9,False,1,path_sim_mat_dblp_10k.npz,1185936083
1,True,1,path_sim_mat_dblp_10k.npz,1842802707
7,False,1,path_sim_mat_dblp_10k.npz,1360347240
6,True,1,path_sim_mat_dblp_10k.npz,650080138
5,False,1,path_sim_mat_dblp_10k.npz,1960837571
4,True,1,path_sim_mat_dblp_10k.npz,1303596485
5,True,1,path_sim_mat_dblp_10k.npz,543715726
5,True,1,path_sim_mat_dblp_10k.npz,814889278
8,True,1,path_sim_mat_dblp_10k.npz,1484568919
5,False,1,path_sim_mat_dblp_10k.npz,2010373652
7,False,1,path_sim_mat_dblp_10k.npz,961657979
1,True,1,path_sim_mat_dblp_10k.npz,538801778
5,True,1,path_sim_mat_dblp_10k.npz,378221467
6,False,1,path_sim_mat_dblp_10k.npz,1121383919
6,True,1,path_sim_mat_dblp_10k.npz,18911791
5,True,1,path_sim_mat_dblp_10k.npz,2061531283
8,False,1,path_sim_mat_dblp_10k.npz,90857779
7,True,1,path_sim_mat_dblp_10k.npz,1065747618
9,True,1,path_sim_mat_dblp_10k.npz,2112452858
6,False,1,path_sim_mat_dblp_10k.npz,67685007
5,False,1,path_sim_mat_dblp_10k.npz,1764562798
5,True,1,path_sim_mat_dblp_10k.npz,482867121
6,False,1,path_sim_mat_dblp_10k.npz,524848223
3,True,1,path_sim_mat_dblp_10k.npz,706337603
9,True,1,path_sim_mat_dblp_10k.npz,1693242387
8,False,1,path_sim_mat_dblp_10k.npz,2092081795
2,True,1,path_sim_mat_dblp_10k.npz,1847533326
7,False,1,path_sim_mat_dblp_10k.npz,742442534
7,False,1,path_sim_mat_dblp_10k.npz,38733593
2,True,1,path_sim_mat_dblp_10k.npz,1186652002
2,True,1,path_sim_mat_dblp_10k.npz,2012589617
8,True,1,path_sim_mat_dblp_10k.npz,137078513
7,False,1,path_sim_mat_dblp_10k.npz,658885620
6,True,1,path_sim_mat_dblp_10k.npz,433667409
7,True,1,path_sim_mat_dblp_10k.npz,1510969428
7,True,1,path_sim_mat_dblp_10k.npz,1920859511
5,False,1,path_sim_mat_dblp_10k.npz,1607771182
6,True,1,path_sim_mat_dblp_10k.npz,452659993
7,False,1,path_sim_mat_dblp_10k.npz,174516600
2,True,1,path_sim_mat_dblp_10k.npz,1056038324
1,True,1,path_sim_mat_dblp_10k.npz,1877948358
4,True,1,path_sim_mat_dblp_10k.npz,141768575
6,False,1,path_sim_mat_dblp_10k.npz,1113488962
8,True,1,path_sim_mat_dblp_10k.npz,2028196093
8,True,1,path_sim_mat_dblp_10k.npz,1634615982
4,True,1,path_sim_mat_dblp_10k.npz,1190870742
6,True,1,path_sim_mat_dblp_10k.npz,41619729
4,True,1,path_sim_mat_dblp_10k.npz,1291731380
5,False,1,path_sim_mat_dblp_10k.npz,1101495654
6,False,1,path_sim_mat_dblp_10k.npz,361428133
2,True,1,path_sim_mat_dblp_10k.npz,359203464
5,True,1,path_sim_mat_dblp_10k.npz,1053439584
7,True,1,path_sim_mat_dblp_10k.npz,2131677087
5,True,1,path_sim_mat_dblp_10k.npz,239555491
4,True,1,path_sim_mat_dblp_10k.npz,968950581
7,False,1,path_sim_mat_dblp_10k.npz,1058163447
2,True,1,path_sim_mat_dblp_10k.npz,347685507
7,False,1,path_sim_mat_dblp_10k.npz,684087796
6,True,1,path_sim_mat_dblp_10k.npz,979594228
5,False,1,path_sim_mat_dblp_10k.npz,643997816
6,False,1,path_sim_mat_dblp_10k.npz,1481957607
6,True,1,path_sim_mat_dblp_10k.npz,91853617
